username,repo_name,stars,repo_url
localstack,localstack,33600,https://github.com/localstack/localstack
drone,drone,23700,https://github.com/drone/drone
jenkinsci,jenkins,17700,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,11900,https://github.com/auchenberg/volkswagen
openshift,origin,8000,https://github.com/openshift/origin
gocd,gocd,6200,https://github.com/gocd/gocd
concourse,concourse,5800,https://github.com/concourse/concourse
buildbot,buildbot,4700,https://github.com/buildbot/buildbot
Strider-CD,strider,4500,https://github.com/Strider-CD/strider
gaia-pipeline,gaia,4400,https://github.com/gaia-pipeline/gaia
theonedev,onedev,4200,https://github.com/theonedev/onedev
jenkins-x,jx,3900,https://github.com/jenkins-x/jx
hygieia,hygieia,3600,https://github.com/hygieia/hygieia
xcpretty,xcpretty,3600,https://github.com/xcpretty/xcpretty
ovh,cds,3500,https://github.com/ovh/cds
cake-build,cake,3000,https://github.com/cake-build/cake
ligurio,awesome-ci,2600,https://github.com/ligurio/awesome-ci
werf,werf,2500,https://github.com/werf/werf
dancryer,PHPCI,2400,https://github.com/dancryer/PHPCI
tox-dev,tox,2400,https://github.com/tox-dev/tox
TheLartians,ModernCppStarter,2100,https://github.com/TheLartians/ModernCppStarter
dreamans,syncd,2000,https://github.com/dreamans/syncd
houndci,hound,1900,https://github.com/houndci/hound
fabric8io,fabric8,1800,https://github.com/fabric8io/fabric8
shivammathur,setup-php,1700,https://github.com/shivammathur/setup-php
lastbackend,lastbackend,1500,https://github.com/lastbackend/lastbackend
nuke-build,nuke,1300,https://github.com/nuke-build/nuke
FlowCI,flow-core-x,1200,https://github.com/FlowCI/flow-core-x
japaric,trust,1100,https://github.com/japaric/trust
k1LoW,tbls,1100,https://github.com/k1LoW/tbls
