username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,17800,https://github.com/iamadamdev/bypass-paywalls-chrome
sindresorhus,refined-github,15200,https://github.com/sindresorhus/refined-github
checkly,headless-recorder,13500,https://github.com/checkly/headless-recorder
unbug,codelf,11600,https://github.com/unbug/codelf
darkreader,darkreader,10800,https://github.com/darkreader/darkreader
crimx,ext-saladict,7700,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,7700,https://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,7400,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,5900,https://github.com/alyssaxuu/screenity
Kenshin,simpread,4900,https://github.com/Kenshin/simpread
manojVivek,medium-unlimited,4100,https://github.com/manojVivek/medium-unlimited
dessant,buster,3900,https://github.com/dessant/buster
dailydotdev,daily,3800,https://github.com/dailydotdev/daily
zxlie,FeHelper,3700,https://github.com/zxlie/FeHelper
gildas-lormeau,SingleFile,3700,https://github.com/gildas-lormeau/SingleFile
dejan,rails_panel,3700,https://github.com/dejan/rails_panel
bilibili-helper,bilibili-helper-o,3600,https://github.com/bilibili-helper/bilibili-helper-o
altair-graphql,altair,3600,https://github.com/altair-graphql/altair
openstyles,stylus,3500,https://github.com/openstyles/stylus
KartikTalwar,gmail.js,3400,https://github.com/KartikTalwar/gmail.js
lmk123,crx-selection-translate,3400,https://github.com/lmk123/crx-selection-translate
honestbleeps,Reddit-Enhancement-Suite,3200,https://github.com/honestbleeps/Reddit-Enhancement-Suite
WorldBrain,Memex,3200,https://github.com/WorldBrain/Memex
vinta,pangu.js,3100,https://github.com/vinta/pangu.js
webclipper,web-clipper,3100,https://github.com/webclipper/web-clipper
sunoj,jjb,3000,https://github.com/sunoj/jjb
EmailThis,extension-boilerplate,2900,https://github.com/EmailThis/extension-boilerplate
RetireJS,retire.js,2800,https://github.com/RetireJS/retire.js
ajayyy,SponsorBlock,2800,https://github.com/ajayyy/SponsorBlock
fregante,GhostText,2500,https://github.com/fregante/GhostText
